time,aeration,rpm,feed_rate,Acid flow,Base flow,Heating/cooling water flow rate(Fc:L/h),Heating water flow rate(Fh:L/h),Water for injection/dilution(Fw:L/h),Air head pressure(pressure:bar),Dumped broth flow(Fremoved:L/h),Substrate concentration(S:g/L),do,penicillin,Vessel volume,Vessel Weight(Wt:Kg),ph,temp,Generated heat(Q:kJ),carbon dioxide percent in off-gas(CO2outgas:%),PAA flow(Fpaa:PAA flow (L/h)),PAA concentration offline(PAA_offline:PAA (g L^{-1})),Oil flow(Foil:L/hr),NH_3 concentration off-line(NH3_offline:NH3 (g L^{-1})),our,Oxygen in percent in off-gas(O2:O2  (%)),Offline Penicillin concentration(P_offline:P(g L^{-1})),biomass,cer,Ammonia shots(NH3_shots:kgs),Viscosity(Viscosity_offline:centPoise),Fault reference(Fault_ref:Fault ref),0 - Recipe driven 1 - Operator controlled(Control_ref:Control ref),batch_id,dt,cum_feed,growth_rate,penicillin_rate,oxygen_efficiency,mixing_intensity,biomass_smooth,penicillin_smooth,biomass_lag1,penicillin_lag1,our_lag1
2.2,30,100,8,0.0,6.7741,1.638,0.0001,0,0.6,0,1.3523,14.509,0.0009953,58490,62629.0,6.4728,298.05,1e-06,0.12453,5.0,,22,,0.00095122,0.20492,,0.7865512727272728,0.047367,0,,0,0,1,0.2,17.599999999999998,0.2153927272727274,-2.500000000000332e-06,3.1707333333333334e-05,3000,0.7003941818181818,0.000996266,0.7434727272727273,0.0009958,-0.0071831
2.4,30,100,8,0.0,18.126,3.2411,0.0001,0,0.6,0,1.3804,14.496,0.00099477,58491,62634.0,6.4764,298.05,0.0275,0.12729,5.0,,22,,0.0054429,0.20483,,0.8296298181818182,0.048418,0,,0,0,1,0.2,19.2,0.2153927272727274,-2.649999999999441e-06,0.00018142999999999998,3000,0.7434727272727273,0.0009957759999999999,0.7865512727272728,0.0009953,0.00095122
2.6,30,100,8,0.0,28.037,5.2094,0.0001,0,0.6,0,1.406,14.462,0.00099421,58494,62642.0,6.4915,298.05,0.27393,0.13018,5.0,,22,,0.018177,0.20458,,0.8727083636363637,0.049515,0,,0,0,1,0.2,20.8,0.2153927272727274,-2.8000000000007186e-06,0.0006058999999999999,3000,0.7865512727272728,0.0009952700000000001,0.8296298181818182,0.00099477,0.0054429
2.8,30,100,8,0.0,31.908,7.4531,0.0001,0,0.6,0,1.429,14.434,0.00099363,58497,62650.0,6.51,298.05,0.62348,0.13318,5.0,,22,,0.030167,0.20435,,0.9157869090909092,0.050658,0,,0,0,1,0.2,22.400000000000002,0.2153927272727274,-2.9000000000001247e-06,0.0010055666666666666,3000,0.8296298181818182,0.000994742,0.8727083636363637,0.00099421,0.018177
3.0,30,100,8,0.0,28.397,9.8571,0.0001,0,0.6,0,1.4495,14.408,0.00099306,58500,62657.0,6.5233,298.05,0.98893,0.13631,5.0,,22,,0.040673,0.20415,,0.9588654545454546,0.05185,0,,0,0,1,0.2,24.000000000000004,0.21539272727272685,-2.8499999999993374e-06,0.0013557666666666668,3000,0.8727083636363637,0.000994194,0.9157869090909092,0.00099363,0.030167
3.2,30,100,15,0.0,19.594,12.327,0.0001,0,0.6,0,1.4813,14.372,0.00099251,58503,62665.0,6.5239,298.06,1.2113,0.13957,5.0,,22,,0.054921,0.20388,,1.001944,0.053091,0,,0,0,1,0.2,27.000000000000004,0.21539272727272685,-2.7499999999999313e-06,0.0018307,3000,0.9157869090909092,0.000993636,0.9588654545454546,0.00099306,0.040673
3.4,30,100,15,0.0,10.588,14.665,0.0001,0,0.6,0,1.5099,14.326,0.00099198,58503,62670.0,6.5122,298.06,1.4427,0.14297,5.0,,22,,0.074225,0.20351,,1.0450225454545454,0.054382,0,,0,0,1,0.2,30.000000000000004,0.2153927272727274,-2.650000000000525e-06,0.0024741666666666666,3000,0.9588654545454546,0.000993078,1.001944,0.00099251,0.054921
3.6,30,100,15,0.0,6.2774,17.049,0.0001,0,0.6,0,1.5362,14.289,0.00099147,58503,62675.0,6.4945,298.06,1.8352,0.14649,5.0,,22,,0.091194,0.20319,,1.088101090909091,0.055722,0,,0,0,1,0.2,33.0,0.2153927272727274,-2.550000000000035e-06,0.0030398,3000,1.001944,0.0009925299999999997,1.0450225454545454,0.00099198,0.074225
3.8,30,100,15,0.0,9.0006,19.671,0.0001,0,0.6,0,1.5601,14.254,0.00099095,58504,62681.0,6.4808,298.06,2.5867,0.15015,5.0,,22,,0.10584,0.20291,,1.1311796363636364,0.057114,0,,0,0,1,0.2,36.0,0.2153927272727274,-2.599999999999738e-06,0.0035280000000000003,3000,1.0450225454545454,0.000991994,1.088101090909091,0.00099147,0.091194
4.0,30,100,15,0.0,17.201,22.803,0.0001,0,0.6,0,1.5812,14.213,0.00099039,58506,62688.0,6.4791,298.06,3.0896,0.15395,5.0,,22,,0.12264,0.20258,,1.1742581818181819,0.058562,0,,0,0,1,0.2,39.0,0.2153927272727274,-2.7999999999996344e-06,0.004088,3000,1.088101090909091,0.00099146,1.1311796363636364,0.00099095,0.10584
4.2,30,100,15,0.0,26.041,25.712,0.0001,0,0.6,0,1.6269,14.168,0.00098981,58510,62698.0,6.4889,298.06,3.2798,0.1579,5.0,,30,,0.13701,0.20231,,1.2173367272727273,0.060065,0,,0,0,1,0.2,42.0,0.2153927272727274,-2.9000000000001247e-06,0.004567,3000,1.1311796363636364,0.00099092,1.1742581818181819,0.00099039,0.12264
4.4,30,100,15,0.0,30.979,28.297,0.0001,0,0.6,0,1.6703,14.13,0.00098922,58515,62709.0,6.5052,298.07,3.9021,0.16198,5.0,,30,,0.15252,0.20201,,1.2604152727272728,0.061618,0,,0,0,1,0.2,45.0,0.2153927272727274,-2.9499999999998278e-06,0.005084,3000,1.1742581818181819,0.000990368,1.2173367272727273,0.00098981,0.13701
4.6,30,100,15,0.0,29.382,31.47,0.0001,0,0.6,0,1.7103,14.083,0.00098863,58519,62720.0,6.5188,298.07,4.345,0.1662,5.0,,30,,0.17099,0.20165,,1.3034938181818183,0.063224,0,,0,0,1,0.2,48.0,0.2153927272727274,-2.9499999999998278e-06,0.005699666666666667,3000,1.2173367272727273,0.0009898,1.2604152727272728,0.00098922,0.15252
4.8,30,100,15,0.0,22.389,34.489,0.0001,0,0.6,0,1.7475,14.049,0.00098806,58522,62729.0,6.5223,298.07,5.3331,0.17057,5.0,,30,,0.18465,0.20139,,1.3465723636363638,0.064885,0,,0,0,1,0.2,51.0,0.2153927272727274,-2.8500000000004216e-06,0.006155,3000,1.2604152727272728,0.000989222,1.3034938181818183,0.00098863,0.17099
5.0,30,100,15,0.0,14.017,38.272,0.0001,0,0.6,0,1.7819,14.003,0.00098753,58524,62737.0,6.5126,298.08,6.647,0.17508,5.0,,30,,0.20142,0.20106,,1.3896509090909093,0.066604,0,,0,0,1,0.2,54.0,0.2153927272727274,-2.650000000000525e-06,0.0067139999999999995,3000,1.3034938181818183,0.00098865,1.3465723636363638,0.00098806,0.18465
5.2,30,100,15,0.0,9.552,42.595,0.0001,0,0.6,0,1.8122,13.967,0.00098702,58523,62743.0,6.4954,298.08,7.8168,0.17976,0.0,,30,,0.21438,0.20081,,1.4327294545454548,0.068385,0,,0,0,1,0.2,57.0,0.2153927272727274,-2.550000000000035e-06,0.007146,3000,1.3465723636363638,0.0009880919999999999,1.3896509090909093,0.00098753,0.20142
5.4,30,100,15,0.0,11.944,46.907,0.0001,0,0.6,0,1.839,13.923,0.00098651,58523,62749.0,6.4821,298.08,8.7216,0.1846,0.0,,30,,0.22995,0.20051,,1.4758080000000002,0.070228,0,,0,0,1,0.2,60.0,0.2153927272727274,-2.550000000000035e-06,0.007665,3000,1.3896509090909093,0.00098755,1.4327294545454548,0.00098702,0.21438
5.6,30,100,15,0.0,19.592,51.046,0.0001,0,0.6,0,1.8633,13.875,0.00098597,58525,62757.0,6.4792,298.09,9.9082,0.1896,0.0,,30,,0.24847,0.20015,,1.5188865454545457,0.07213,0,,0,0,1,0.2,63.0,0.2153927272727274,-2.699999999999144e-06,0.008282333333333333,3000,1.4327294545454548,0.000987018,1.4758080000000002,0.00098651,0.22995
5.8,30,100,15,0.0,28.416,55.68,0.0001,0,0.6,0,1.8842,13.83,0.0009854,58528,62767.0,6.4876,298.09,9.817,0.19475,0.0,,30,,0.26607,0.19981,,1.5619650909090912,0.074088,0,,0,0,1,0.2,66.0,0.2153927272727274,-2.8500000000004216e-06,0.008868999999999998,3000,1.4758080000000002,0.000986486,1.5188865454545457,0.00098597,0.24847
6.0,30,100,15,0.0,33.855,58.835,0.0001,0,0.6,0,1.9017,13.797,0.00098481,58533,62778.0,6.5015,298.08,8.9182,0.20005,0.0,,30,,0.2775,0.19958,,1.6050436363636367,0.076105,0,,0,0,1,0.2,69.0,0.2153927272727274,-2.9499999999998278e-06,0.009250000000000001,3000,1.5188865454545457,0.000985942,1.5619650909090912,0.0009854,0.26607
6.2,30,100,15,0.0,33.741,60.978,0.0001,0,0.6,0,1.915,13.745,0.00098423,58537,62789.0,6.5145,298.08,8.6957,0.20552,0.0,,30,,0.29452,0.19925,,1.6481221818181822,0.078189,0,,0,0,1,0.2,72.0,0.2153927272727274,-2.9000000000001247e-06,0.009817333333333334,3000,1.5619650909090912,0.0009853840000000002,1.6050436363636367,0.00098481,0.2775
6.4,30,100,15,0.0,28.466,63.885,0.0001,0,0.6,0,1.9241,13.692,0.00098366,58540,62798.0,6.5194,298.09,10.104,0.21118,0.0,,30,,0.31348,0.19888,,1.6912007272727272,0.080341,0,,0,0,1,0.2,75.0,0.21539272727272518,-2.8500000000004216e-06,0.010449333333333333,3000,1.6050436363636365,0.000984814,1.6481221818181822,0.00098423,0.29452
6.6,30,100,15,0.0,21.244,68.83,0.0001,0,0.6,0,1.93,13.648,0.00098312,58542,62806.0,6.5144,298.09,9.3355,0.21701,0.0,,30,,0.32857,0.19858,,1.7342792727272727,0.082563,0,,0,0,1,0.2,78.0,0.2153927272727274,-2.699999999999144e-06,0.010952333333333333,3000,1.648122181818182,0.000984244,1.6912007272727272,0.00098366,0.31348
6.8,30,100,15,0.0,16.017,71.138,0.0001,0,0.6,0,1.9325,13.596,0.00098259,58543,62814.0,6.5012,298.09,9.2838,0.22303,0.0,,30,,0.34544,0.19825,,1.7773578181818181,0.084854,0,,0,0,1,0.2,81.0,0.2153927272727274,-2.650000000000525e-06,0.011514666666666668,3000,1.6912007272727272,0.000983682,1.7342792727272727,0.00098312,0.32857
7.0,30,100,15,0.0,16.096,74.318,0.0001,0,0.6,0,1.931,13.527,0.00098207,58544,62821.0,6.4886,298.08,9.0259,0.22924,0.0,,30,,0.37052,0.19776,,1.8204363636363636,0.087217,0,,0,0,1,0.2,84.0,0.2153927272727274,-2.599999999999738e-06,0.012350666666666668,3000,1.7342792727272727,0.0009831339999999999,1.7773578181818181,0.00098259,0.34544
7.2,30,100,15,0.0,21.177,77.207,0.0001,0,0.6,0,1.9253,13.455,0.00098153,58546,62829.0,6.482,298.08,8.2531,0.23564,0.0,,30,,0.39836,0.19722,,1.863514909090909,0.089656,0,,0,0,1,0.2,87.0,0.2153927272727274,-2.7000000000002283e-06,0.013278666666666666,3000,1.7773578181818181,0.000982594,1.8204363636363636,0.00098207,0.37052
7.4,30,100,15,0.0,28.898,79.407,0.0001,0,0.6,0,1.9156,13.401,0.00098096,58549,62839.0,6.4855,298.08,6.8575,0.24224,0.0,,30,,0.41999,0.1968,,1.9065934545454546,0.092166,0,,0,0,1,0.2,90.0,0.2153927272727274,-2.8500000000004216e-06,0.013999666666666665,3000,1.8204363636363634,0.000982054,1.863514909090909,0.00098153,0.39836
7.6,30,100,15,0.0,35.196,80.716,0.0001,0,0.6,0,1.9014,13.333,0.00098037,58554,62850.0,6.4951,298.08,7.8167,0.24903,0.0,,30,,0.444,0.19633,,1.949672,0.094753,0,,0,0,1,0.2,93.0,0.2153927272727274,-2.9499999999998278e-06,0.0148,3000,1.8635149090909089,0.000981504,1.9065934545454546,0.00098096,0.41999
7.8,30,100,15,0.0,37.665,84.863,0.0001,0,0.6,0,1.8833,13.276,0.00097977,58559,62861.0,6.5054,298.08,8.7817,0.25603,0.0,,30,,0.46436,0.19593,,1.9927505454545456,0.097418,0,,0,0,1,0.2,96.0,0.2153927272727274,-2.999999999999531e-06,0.015478666666666667,3000,1.9065934545454546,0.00098094,1.949672,0.00098037,0.444
8.0,30,100,15,0.0,36.02,89.084,0.0001,0,0.6,0,1.8607,13.222,0.00097918,58564,62872.0,6.5128,298.09,9.8352,0.26324,0.0,,30,,0.48107,0.1956,,2.035829090909091,0.10016,0,,0,0,1,0.2,99.0,0.2153927272727274,-2.9499999999998278e-06,0.016035666666666667,3000,1.949672,0.000980362,1.9927505454545456,0.00097977,0.46436
8.2,42,100,15,0.0,31.438,93.552,0.0001,0,0.6,0,1.8336,13.331,0.00097861,58568,62883.0,6.5144,298.09,11.664,0.21112,0.0,,30,,0.45819,0.19862,,2.0789076363636365,0.11245,0,,0,0,1,0.2,102.0,0.2153927272727274,-2.8500000000004216e-06,0.010909285714285713,4200,1.9927505454545453,0.000979778,2.035829090909091,0.00097918,0.48107
8.4,42,100,15,0.0,26.22,99.157,0.0001,0,0.6,0,1.8006,13.254,0.00097805,58571,62892.0,6.5086,298.1,12.346,0.21015,0.0,,30,,0.45132,0.19871,,2.121986181818182,0.11193,0,,0,0,1,0.2,105.0,0.2153927272727274,-2.7999999999996344e-06,0.010745714285714286,4200,2.035829090909091,0.000979196,2.0789076363636365,0.00097861,0.45819
8.6,42,100,15,0.0,23.338,103.53,0.0001,0,0.6,0,1.7627,13.191,0.00097751,58573,62900.0,6.4976,298.1,13.047,0.21507,0.0,,30,,0.46919,0.19846,,2.1650647272727275,0.11456,0,,0,0,1,0.2,108.0,0.2153927272727274,-2.7000000000002283e-06,0.011171190476190477,4200,2.0789076363636365,0.000978624,2.121986181818182,0.00097805,0.45132
8.8,42,100,15,0.0,24.852,108.05,0.0001,0,0.6,0,1.7182,13.112,0.00097695,58576,62909.0,6.488,298.11,15.776,0.22089,0.0,,30,,0.49778,0.19806,,2.208143272727273,0.11765,0,,0,0,1,0.2,111.0,0.2153927272727274,-2.7999999999996344e-06,0.011851904761904761,4200,2.121986181818182,0.00097806,2.1650647272727275,0.00097751,0.46919
9.0,42,100,15,0.0,30.166,115.26,0.0001,0,0.6,0,1.6681,13.049,0.00097638,58580,62919.0,6.4845,298.12,17.587,0.22698,0.0,,30,,0.51847,0.19777,,2.2512218181818184,0.1209,0,,0,0,1,0.2,114.0,0.2153927272727274,-2.8500000000004216e-06,0.012344523809523809,4200,2.1650647272727275,0.0009774999999999999,2.208143272727273,0.00097695,0.49778
9.2,42,100,15,0.0,36.871,121.62,0.0001,0,0.6,0,1.6111,12.975,0.00097579,58585,62931.0,6.4847,298.12,19.374,0.2333,0.0,,30,,0.54284,0.19743,,2.294300363636364,0.12427,0,,0,0,1,0.2,117.0,0.2153927272727274,-2.9499999999998278e-06,0.012924761904761904,4200,2.208143272727273,0.000976936,2.2512218181818184,0.00097638,0.51847
9.4,42,100,15,0.0,43.504,128.22,0.0001,0,0.6,0,1.5493,12.919,0.00097518,58591,62943.0,6.4889,298.13,20.763,0.23979,0.0,,30,,0.56083,0.19717,,2.3373789090909094,0.12773,0,,0,0,1,0.2,120.0,0.2153927272727274,-3.050000000000318e-06,0.013353095238095239,4200,2.2512218181818184,0.000976362,2.294300363636364,0.00097579,0.54284
9.6,42,100,15,0.0,48.433,134.57,0.0001,0,0.6,0,1.4815,12.842,0.00097454,58598,62957.0,6.4957,298.14,23.997,0.24647,0.0,,30,,0.58866,0.19678,,2.380457454545455,0.13129,0,,0,0,1,0.2,123.0,0.2153927272727274,-3.1999999999999694e-06,0.014015714285714284,4200,2.294300363636364,0.0009757679999999999,2.3373789090909094,0.00097518,0.56083
9.8,42,100,15,0.0,50.664,143.48,0.0001,0,0.6,0,1.4079,12.776,0.00097391,58606,62971.0,6.5042,298.15,25.96,0.25333,0.0,,30,,0.60956,0.19649,,2.4235360000000004,0.13495,0,,0,0,1,0.2,126.0,0.2153927272727274,-3.149999999999724e-06,0.014513333333333333,4200,2.3373789090909094,0.0009751600000000001,2.380457454545455,0.00097454,0.58866
10.0,42,100,15,0.0,49.499,151.16,0.0001,0,0.6,0,1.3281,12.693,0.00097327,58613,62985.0,6.5089,298.15,26.957,0.2604,0.0,,30,,0.6385,0.19608,,2.466614545454546,0.13871,0,,0,0,1,0.2,129.0,0.2153927272727274,-3.1999999999999694e-06,0.015202380952380952,4200,2.380457454545455,0.0009745379999999999,2.4235360000000004,0.00097391,0.60956
10.2,42,100,15,0.0,46.488,157.91,0.0001,0,0.6,0,1.2424,12.601,0.00097265,58620,62998.0,6.5082,298.15,26.698,0.26768,0.0,,30,,0.672,0.19561,,2.5096930909090913,0.14259,0,,0,0,1,0.2,132.0,0.2153927272727274,-3.100000000000021e-06,0.016,4200,2.4235360000000004,0.00097391,2.466614545454546,0.00097327,0.6385
10.4,42,100,15,0.0,43.731,163.22,0.0001,0,0.6,0,1.1493,12.516,0.00097204,58627,63011.0,6.5039,298.15,25.696,0.27519,0.0,,30,,0.70032,0.19521,,2.552771636363637,0.1466,0,,0,0,1,0.2,135.0,0.2153927272727274,-3.050000000000318e-06,0.016674285714285714,4200,2.466614545454546,0.000973282,2.5096930909090913,0.00097265,0.672
10.6,42,100,15,0.0,42.712,167.59,0.0001,0,0.6,0,1.0486,12.41,0.00097143,58633,63023.0,6.498,298.14,25.128,0.28295,0.0,,30,,0.73895,0.19467,,2.5958501818181823,0.15074,0,,0,0,1,0.2,138.0,0.2153927272727274,-3.049999999999776e-06,0.01759404761904762,4200,2.5096930909090913,0.00097266,2.552771636363637,0.00097204,0.70032
10.8,42,100,15,0.0,44.043,172.39,0.0001,0,0.6,0,0.94074,12.309,0.00097082,58639,63036.0,6.4931,298.14,23.97,0.29098,0.0,,30,,0.7746,0.19417,,2.6389287272727278,0.15501,0,,0,0,1,0.2,141.0,0.2153927272727274,-3.050000000000318e-06,0.018442857142857143,4200,2.552771636363637,0.000972042,2.5958501818181823,0.00097143,0.73895
11.0,42,100,15,0.0,47.308,176.35,0.0001,0,0.6,0,0.82618,12.221,0.00097019,58646,63049.0,6.4917,298.14,23.993,0.29925,0.0,,30,,0.80504,0.19374,,2.6820072727272732,0.15942,0,,0,0,1,0.2,144.0,0.2153927272727274,-3.149999999999724e-06,0.019167619047619048,4200,2.5958501818181823,0.0009714260000000001,2.6389287272727278,0.00097082,0.7746
11.2,42,100,15,0.0,51.125,181.67,0.0001,0,0.6,0,0.70488,12.132,0.00096956,58654,63063.0,6.4931,298.12,17.29,0.30775,0.0,,30,,0.8343,0.19332,,2.7250858181818187,0.16396,0,,0,0,1,0.2,147.0,0.2153927272727274,-3.1500000000002663e-06,0.019864285714285716,4200,2.6389287272727278,0.0009708079999999999,2.6820072727272732,0.00097019,0.80504
11.4,42,100,15,0.0,54.39,178.37,0.0001,0,0.6,0,0.57682,12.033,0.00096891,58663,63078.0,6.4942,298.08,7.2958,0.31649,0.0,,30,,0.86827,0.19284,,2.768164363636364,0.16861,0,,0,0,1,0.2,150.0,0.2153927272727274,-3.2499999999996724e-06,0.020673095238095237,4200,2.6820072727272732,0.000970182,2.7250858181818187,0.00096956,0.8343
11.6,42,100,15,0.0,57.231,170.14,0.0001,0,0.6,0,0.44014,11.92,0.00096826,58672,63094.0,6.495,298.07,4.0842,0.3255,0.0,,30,,0.90697,0.19229,,2.8112429090909097,0.17342,0,,0,0,1,0.2,153.0,0.2153927272727274,-3.2500000000002145e-06,0.02159452380952381,4200,2.7250858181818187,0.000969548,2.768164363636364,0.00096891,0.86827
11.8,42,100,15,0.0,59.744,169.27,0.0001,0,0.6,0,0.29866,11.855,0.0009676,58681,63109.0,6.4968,298.06,1.1719,0.33475,0.0,,30,,0.92745,0.19199,,2.8543214545454547,0.17835,0,,0,0,1,0.2,156.0,0.21539272727272518,-3.2999999999999176e-06,0.022082142857142856,4200,2.768164363636364,0.0009689039999999999,2.8112429090909097,0.00096826,0.90697
12.0,42,100,15,0.0,61.535,168.15,0.0001,0,0.6,0,0.15862,11.835,0.00096693,58691,63126.0,6.5002,298.04,1e-06,0.34413,0.0,1577.7,30,1791.4,0.93728,0.19184,0.00096956,2.8974,0.18335,0,10.792,0,0,1,0.2,159.0,0.2153927272727274,-3.3500000000001627e-06,0.022316190476190476,4200,2.8112429090909092,0.000968252,2.8543214545454547,0.0009676,0.92745
12.2,42,100,30,0.0,61.979,163.16,0.0001,0,0.6,0,0.061676,11.966,0.00096622,58704,63146.0,6.5075,298.03,1e-06,0.35344,0.0,,30,,0.9102,0.19219,,2.991165,0.18832,0,,0,0,1,0.2,165.0,0.4688249999999994,-3.550000000000059e-06,0.02167142857142857,4200,2.864458745454546,0.000967584,2.8974,0.00096693,0.93728
12.4,42,100,30,0.0,59.487,163.22,0.0001,0,0.6,0,0.016875,12.564,0.00096551,58717,63166.0,6.5259,297.97,1e-06,0.36193,0.0,,30,,0.75194,0.19434,,3.0849300000000004,0.19285,0,,0,0,1,0.2,171.0,0.4688250000000016,-3.549999999999517e-06,0.017903333333333334,4200,2.927811872727273,0.000966904,2.991165,0.00096622,0.9102
12.6,42,100,30,0.0,49.612,144.79,0.0001,0,0.7,0,0.013954,13.538,0.00096484,58728,63183.0,6.5442,297.9,1e-06,0.36878,0.0,,30,,0.6053,0.19632,,3.1786950000000003,0.1965,0,,0,0,1,0.2,177.0,0.4688249999999994,-3.3500000000001627e-06,0.014411904761904761,4200,3.0013022909090914,0.00096622,3.0849300000000004,0.00096551,0.75194
12.8,42,100,30,0.0,32.44,43.436,171.31,0,0.7,0,0.013902,13.51,0.00096422,58735,63198.0,6.5424,298.57,181.73,0.37509,0.0,,30,,0.57759,0.19668,,3.27246,0.19987,0,,0,0,1,0.2,183.0,0.4688249999999994,-3.100000000000021e-06,0.013752142857142859,4200,3.08493,0.0009655440000000001,3.1786950000000003,0.00096484,0.6053
13.0,42,100,30,0.0,16.067,271.75,17.131,0,0.7,0,0.013506,13.478,0.00096365,58738,63208.0,6.5188,298.34,118.4,0.38133,0.0,,30,,0.58194,0.19661,,3.366225,0.20319,0,,0,0,1,0.2,189.0,0.4688249999999994,-2.8499999999998795e-06,0.013855714285714285,4200,3.1786950000000003,0.000964888,3.27246,0.00096422,0.57759
13.2,42,100,30,0.0,9.1289,207.61,1.7131,0,0.7,0,0.013119,13.456,0.00096311,58741,63218.0,6.4876,298.17,73.522,0.38754,0.0,,30,,0.58845,0.19651,,3.4599900000000003,0.20651,0,,0,0,1,0.2,195.0,0.4688250000000016,-2.7000000000002283e-06,0.014010714285714286,4200,3.27246,0.0009642660000000001,3.366225,0.00096365,0.58194
